State,District,Market
Andaman and Nicobar,Nicobar,Car Nicobar
Andaman and Nicobar,North and Middle Andaman,Diglipur
Andaman and Nicobar,North and Middle Andaman,Mayabandar
Andaman and Nicobar,South Andaman,Port Blair
Andhra Pradesh,Alluri Sitharama Raju,Rampachodvaram APMC
Andhra Pradesh,Anantapur,Anantapur
Andhra Pradesh,Anantapur,Anantapur APMC
Andhra Pradesh,Anantapur,Dharmavaram
Andhra Pradesh,Anantapur,Gooti
Andhra Pradesh,Anantapur,Guntakal
Andhra Pradesh,Anantapur,Hindupur
Andhra Pradesh,Anantapur,Hindupur APMC
Andhra Pradesh,Anantapur,Kadiri
Andhra Pradesh,Anantapur,Kalyandurg
Andhra Pradesh,Anantapur,Madakasira
Andhra Pradesh,Anantapur,Penukonda
Andhra Pradesh,Anantapur,Rayadurg
Andhra Pradesh,Anantapur,Tadipatri
Andhra Pradesh,Anantapur,Tenakallu
Andhra Pradesh,Annamayya,Valmikipuram APMC
Andhra Pradesh,Chittor,Bangarupalem
Andhra Pradesh,Chittor,Chittoor
Andhra Pradesh,Chittor,Chittoor APMC
Andhra Pradesh,Chittor,Kalikiri
Andhra Pradesh,Chittor,Kalikiri APMC
Andhra Pradesh,Chittor,Kuppam
Andhra Pradesh,Chittor,Madanapalli
Andhra Pradesh,Chittor,Madanapalli APMC
Andhra Pradesh,Chittor,Mulakalacheruvu
Andhra Pradesh,Chittor,Nagalapuram
Andhra Pradesh,Chittor,Pakala
Andhra Pradesh,Chittor,Palamaner
Andhra Pradesh,Chittor,Palamaner APMC
Andhra Pradesh,Chittor,Piler
Andhra Pradesh,Chittor,Punganur
Andhra Pradesh,Chittor,Punganur APMC
Andhra Pradesh,Chittor,Puttur
Andhra Pradesh,Chittor,Rompicherla
Andhra Pradesh,Chittor,Somala
Andhra Pradesh,Chittor,Srikalahasti
Andhra Pradesh,Chittor,Thottambedu
Andhra Pradesh,Chittor,Tirupati
Andhra Pradesh,Chittor,Vayalapadu
Andhra Pradesh,Chittor,Vepanjari
Andhra Pradesh,Cuddapah,Cuddapah
Andhra Pradesh,Cuddapah,Cuddapah APMC
Andhra Pradesh,Cuddapah,Jammalamadugu
Andhra Pradesh,Cuddapah,Lakkireddipally
Andhra Pradesh,Cuddapah,Mydukur
Andhra Pradesh,Cuddapah,Proddatur
Andhra Pradesh,Cuddapah,Pulivendala
Andhra Pradesh,Cuddapah,Pulivendala APMC
Andhra Pradesh,Cuddapah,Rajampet
Andhra Pradesh,Cuddapah,Siddavatam
Andhra Pradesh,East Godavari,Alamuru
Andhra Pradesh,East Godavari,Allavaram
Andhra Pradesh,East Godavari,Ambajipeta
Andhra Pradesh,East Godavari,Ambajipeta APMC
Andhra Pradesh,East Godavari,Anaparthy
Andhra Pradesh,East Godavari,Jaggampet
Andhra Pradesh,East Godavari,Jaggampet APMC
Andhra Pradesh,East Godavari,Kakinada
Andhra Pradesh,East Godavari,Karapa
Andhra Pradesh,East Godavari,Kothapeta
Andhra Pradesh,East Godavari,Mandapeta
Andhra Pradesh,East Godavari,Mummidivaram
Andhra Pradesh,East Godavari,Nagaram
Andhra Pradesh,East Godavari,Peddapuram
Andhra Pradesh,East Godavari,Pithapuram
Andhra Pradesh,East Godavari,Prattipadu
Andhra Pradesh,East Godavari,Rajahmundry
Andhra Pradesh,East Godavari,Ravulapelem
Andhra Pradesh,East Godavari,Ravulapelem APMC
Andhra Pradesh,East Godavari,Razole
Andhra Pradesh,East Godavari,Samalkot
Andhra Pradesh,East Godavari,Sampara
Andhra Pradesh,East Godavari,Tellarevu
Andhra Pradesh,East Godavari,Tuni
Andhra Pradesh,Guntur,Bapatla
Andhra Pradesh,Guntur,Duggirala
Andhra Pradesh,Guntur,Duggirala APMC
Andhra Pradesh,Guntur,Guntur
Andhra Pradesh,Guntur,Guntur APMC
Andhra Pradesh,Guntur,Ipur
Andhra Pradesh,Guntur,Krosuru
Andhra Pradesh,Guntur,Narasaraopet
Andhra Pradesh,Guntur,Pidugurala (Palnadu)
Andhra Pradesh,Guntur,Sattenapalli
Andhra Pradesh,Guntur,Tadikonda
Andhra Pradesh,Guntur,Tenali
Andhra Pradesh,Guntur,Tenali APMC
Andhra Pradesh,Guntur,Vinukonda
Andhra Pradesh,Krishna,Divi
Andhra Pradesh,Krishna,Divi APMC
Andhra Pradesh,Krishna,Jaggayyapeta
Andhra Pradesh,Krishna,Kaikaluru
Andhra Pradesh,Krishna,Kalidindi
Andhra Pradesh,Krishna,Kanchekacherla
Andhra Pradesh,Krishna,Malleswaram
Andhra Pradesh,Krishna,Mylavaram
Andhra Pradesh,Krishna,Nandigama
Andhra Pradesh,Krishna,Nuzvid
Andhra Pradesh,Krishna,Pamarru
Andhra Pradesh,Krishna,Penamaluru
Andhra Pradesh,Krishna,Tiruvuru
Andhra Pradesh,Krishna,Tiruvuru APMC
Andhra Pradesh,Krishna,Vuyyur
Andhra Pradesh,Kurnool,"A.A.Nagar,Kurnool,RBZ"
Andhra Pradesh,Kurnool,Adoni
Andhra Pradesh,Kurnool,Adoni APMC
Andhra Pradesh,Kurnool,Allagadda
Andhra Pradesh,Kurnool,Alur
Andhra Pradesh,Kurnool,Atmakur
Andhra Pradesh,Kurnool,Banaganapalli
Andhra Pradesh,Kurnool,Dhone
Andhra Pradesh,Kurnool,Koilkunta
Andhra Pradesh,Kurnool,Kurnool
Andhra Pradesh,Kurnool,Kurnool APMC
Andhra Pradesh,Kurnool,Nandikotkur
Andhra Pradesh,Kurnool,Nandyal
Andhra Pradesh,Kurnool,Nandyal APMC
Andhra Pradesh,Kurnool,Pattikonda
Andhra Pradesh,Kurnool,Pattikonda APMC
Andhra Pradesh,Kurnool,Yemmiganur
Andhra Pradesh,Kurnool,Yemmiganur APMC
Andhra Pradesh,Nellore,Atmakur (SPS)
Andhra Pradesh,Nellore,Gudur
Andhra Pradesh,Nellore,Nellore
Andhra Pradesh,Nellore,Rapur
Andhra Pradesh,Nellore,Rapur APMC
Andhra Pradesh,Nellore,Sarvepalli APMC
Andhra Pradesh,Nellore,Vakadu
Andhra Pradesh,Nellore,Venkatagiri
Andhra Pradesh,Palnadu,Gurazala APMC
Andhra Pradesh,Prakasam,Giddalur
Andhra Pradesh,Prakasam,Kandukur
Andhra Pradesh,Prakasam,Kanigiri
Andhra Pradesh,Prakasam,Martur
Andhra Pradesh,Prakasam,Parchur
Andhra Pradesh,Prakasam,Podili
Andhra Pradesh,Srikakulam,Amadalavalasa
Andhra Pradesh,Srikakulam,Hiramandalam
Andhra Pradesh,Srikakulam,Ichapuram
Andhra Pradesh,Srikakulam,Kanchili
Andhra Pradesh,Srikakulam,Kothabommali
Andhra Pradesh,Srikakulam,Narasannapet
Andhra Pradesh,Srikakulam,Palakonda
Andhra Pradesh,Srikakulam,Pathapatnam
Andhra Pradesh,Srikakulam,Ponduru
Andhra Pradesh,Srikakulam,Rajam
Andhra Pradesh,Srikakulam,Sompeta
Andhra Pradesh,Srikakulam,Srikakulam
Andhra Pradesh,Vijayanagaram,Bobbili
Andhra Pradesh,Vijayanagaram,Chipurupalli
Andhra Pradesh,Vijayanagaram,Gajapathinagaram
Andhra Pradesh,Vijayanagaram,Kothavalasa
Andhra Pradesh,Vijayanagaram,Pusapatirega
Andhra Pradesh,Vijayanagaram,Saluru
Andhra Pradesh,Vijayanagaram,Vijayanagaram
Andhra Pradesh,Visakhapatnam,Anakapally
Andhra Pradesh,Visakhapatnam,Anakapally APMC
Andhra Pradesh,Visakhapatnam,Bhimunipatnam
Andhra Pradesh,Visakhapatnam,Chintapally
Andhra Pradesh,Visakhapatnam,Chodavaram
Andhra Pradesh,Visakhapatnam,Narsipatnam
Andhra Pradesh,Visakhapatnam,Paderu
Andhra Pradesh,Visakhapatnam,Paderu APMC
Andhra Pradesh,Visakhapatnam,Yellamanchili
Andhra Pradesh,West Godavari,Achanta
Andhra Pradesh,West Godavari,Akiveedu
Andhra Pradesh,West Godavari,Attili
Andhra Pradesh,West Godavari,Bhimadole
